test_pack,#iter,time,turn,pass,all_iter,all_time,clock_per_sec
1PC,402,1.818,1000,1000,1000000,-1915.27,1000
1PC,403,1.837,1000,1000,1000000,-1915.27,1000
1PC,404,1.814,1000,1000,1000000,-1915.27,1000
1PC,405,1.831,1000,1000,1000000,-1915.27,1000
1PC,406,1.814,1000,1000,1000000,-1915.27,1000
1PC,407,1.837,1000,1000,1000000,-1915.27,1000
1PC,408,1.993,1000,1000,1000000,-1915.27,1000
1PC,409,1.938,1000,1000,1000000,-1915.27,1000
1PC,410,1.899,1000,1000,1000000,-1915.27,1000
1PC,411,1.886,1000,1000,1000000,-1915.27,1000
1PC,412,1.978,1000,1000,1000000,-1915.27,1000
1PC,413,1.928,1000,1000,1000000,-1915.27,1000
1PC,414,1.984,1000,1000,1000000,-1915.27,1000
1PC,415,1.86,1000,1000,1000000,-1915.27,1000
1PC,416,1.965,1000,1000,1000000,-1915.27,1000
1PC,417,2.059,1000,1000,1000000,-1915.27,1000
1PC,418,2.566,1000,1000,1000000,-1915.27,1000
1PC,419,2.159,1000,1000,1000000,-1915.27,1000
1PC,420,2.456,1000,1000,1000000,-1915.27,1000
1PC,421,2.203,1000,1000,1000000,-1915.27,1000
1PC,422,2.137,1000,1000,1000000,-1915.27,1000
1PC,423,1.952,1000,1000,1000000,-1915.27,1000
1PC,424,1.973,1000,1000,1000000,-1915.27,1000
1PC,425,1.969,1000,1000,1000000,-1915.27,1000
1PC,426,1.887,1000,1000,1000000,-1915.27,1000
1PC,427,1.973,1000,1000,1000000,-1915.27,1000
1PC,428,1.916,1000,1000,1000000,-1915.27,1000
1PC,429,2.159,1000,1000,1000000,-1915.27,1000
1PC,430,1.99,1000,1000,1000000,-1915.27,1000
1PC,431,1.959,1000,1000,1000000,-1915.27,1000
1PC,432,1.981,1000,1000,1000000,-1915.27,1000
1PC,433,1.954,1000,1000,1000000,-1915.27,1000
1PC,434,2.277,1000,1000,1000000,-1915.27,1000
1PC,435,2.287,1000,1000,1000000,-1915.27,1000
1PC,436,2.309,1000,1000,1000000,-1915.27,1000
1PC,437,2.271,1000,1000,1000000,-1915.27,1000
1PC,438,2.1,1000,1000,1000000,-1915.27,1000
1PC,439,1.96,1000,1000,1000000,-1915.27,1000
1PC,440,1.887,1000,1000,1000000,-1915.27,1000
1PC,441,1.876,1000,1000,1000000,-1915.27,1000
1PC,442,1.854,1000,1000,1000000,-1915.27,1000
1PC,443,1.902,1000,1000,1000000,-1915.27,1000
1PC,444,1.87,1000,1000,1000000,-1915.27,1000
1PC,445,1.853,1000,1000,1000000,-1915.27,1000
1PC,446,1.895,1000,1000,1000000,-1915.27,1000
1PC,447,1.893,1000,1000,1000000,-1915.27,1000
1PC,448,2.073,1000,1000,1000000,-1915.27,1000
1PC,449,2.209,1000,1000,1000000,-1915.27,1000
1PC,450,2.251,1000,1000,1000000,-1915.27,1000
1PC,451,2.175,1000,1000,1000000,-1915.27,1000
1PC,452,1.955,1000,1000,1000000,-1915.27,1000
1PC,453,1.994,1000,1000,1000000,-1915.27,1000
1PC,454,1.919,1000,1000,1000000,-1915.27,1000
1PC,455,1.929,1000,1000,1000000,-1915.27,1000
1PC,456,1.932,1000,1000,1000000,-1915.27,1000
1PC,457,1.898,1000,1000,1000000,-1915.27,1000
1PC,458,1.876,1000,1000,1000000,-1915.27,1000
1PC,459,1.897,1000,1000,1000000,-1915.27,1000
1PC,460,1.88,1000,1000,1000000,-1915.27,1000
1PC,461,1.929,1000,1000,1000000,-1915.27,1000
1PC,462,1.95,1000,1000,1000000,-1915.27,1000
1PC,463,1.892,1000,1000,1000000,-1915.27,1000
1PC,464,1.876,1000,1000,1000000,-1915.27,1000
1PC,465,1.906,1000,1000,1000000,-1915.27,1000
1PC,466,1.871,1000,1000,1000000,-1915.27,1000
1PC,467,1.861,1000,1000,1000000,-1915.27,1000
1PC,468,1.888,1000,1000,1000000,-1915.27,1000
1PC,469,1.888,1000,1000,1000000,-1915.27,1000
1PC,470,1.878,1000,1000,1000000,-1915.27,1000
1PC,471,1.86,1000,1000,1000000,-1915.27,1000
1PC,472,1.864,1000,1000,1000000,-1915.27,1000
1PC,473,1.864,1000,1000,1000000,-1915.27,1000
